@relation dataset_7

@attribute col0 numeric
@attribute col1 numeric
@attribute class {class2,class1,class0}

@data
9.284771,9.047129,class2
8.81733,8.7664,class2
4.809644,5.068563,class1
9.82691,9.785301,class2
-0.110484,-0.685533,class0
3.486969,3.577029,class1
4.040281,4.826358,class1
11.143284,10.037832,class2
4.093311,4.564215,class1
0.353514,0.966153,class0
9.883475,9.761839,class2
9.894539,9.043405,class2
-0.64044,-0.375365,class0
5.315945,4.579367,class1
-1.318437,-1.731158,class0
4.945627,5.417855,class1
9.44167,10.040191,class2
9.708816,9.251807,class2
0.180554,-0.308505,class0
8.95156,9.597443,class2
7.014189,7.710242,class2
5.097957,5.474676,class1
8.423995,7.871382,class2
3.736495,5.444819,class1
5.373482,4.627989,class1
3.67582,3.454161,class1
-0.414773,-0.370303,class0
5.245379,4.738997,class1
10.609179,9.785282,class2
3.063041,4.106119,class1
0.961733,0.858398,class0
6.323703,5.8667,class1
4.307702,4.383211,class1
0.750798,2.25977,class0
0.640902,0.699503,class0
4.76075,4.304533,class1
-0.573538,-0.398668,class0
4.41105,4.603128,class1
0.251399,-0.098635,class0
10.75135,10.678533,class2
7.855387,7.241376,class2
6.288238,5.771022,class1
8.697247,8.372467,class2
-0.258637,-0.2904,class0
-0.601305,-1.023096,class0
-1.318444,-0.108145,class0
2.44211,2.347652,class1
4.865409,5.642319,class1
6.108877,5.826639,class1
9.364621,9.878954,class2
4.934428,4.005345,class1
0.755648,0.723118,class0
10.633106,9.842794,class2
5.290297,5.588961,class1
3.466353,4.264896,class1
4.283991,4.624756,class1
5054.289934,4.481806,class1
8.711354,8.021631,class2
-0.553045,0.386682,class0
10.008547,10.565562,class2
0.622904,0.800409,class0
8.51437,7.788063,class2
-0.107959,1.272998,class0
4.607437,4.518484,class1
8.036602,8.631813,class2
6.308454,6.450732,class1
10.977736,11.159708,class2
6.453973,6.913109,class1
10.798043,10.014662,class2
9.316521,8.806121,class2
-0.099537,-0.749349,class0
-0.840922,-0.78748,class0
-0.872004,-0.896675,class0
1.077901,1.074614,class0
9.817933,9.415611,class2
10402.054746,10.485611,class2
-1.690105,-1.897901,class0
-0.206044,-0.433696,class0
1.983074,1.201062,class0
0.626257,0.750352,class0
10.922409,10.538714,class2
5.068828,3.758973,class1
5.632657,5.661343,class1
9.935756,10.12909,class2
5.58542,5.38544,class1
5.444865,5.680005,class1
-1.013772,0.025388,class0
7.311159,7.124406,class2
-0.873691,-0.923563,class0
9.887586,9.164706,class2
5913.729974,6.31223,class1
4.579347,3.321712,class1
-0.744065,-0.335103,class0
-0.658191,-0.917747,class0
5.163676,4.082577,class1
1.482284,0.507015,class0
4.423824,3.755379,class1
8.845995,9.792596,class2
-0.896871,-1.339417,class0
-0.876835,0.625019,class0
-0.019952,0.206714,class0
5.174836,4.701649,class1
5.230428,5.156404,class1
5.823457,5.101751,class1
5.01902,5.095446,class1
10.014471,10.187206,class2
-0.418923,0.45443,class0
