@relation dataset_15

@attribute col0 numeric
@attribute col1 numeric
@attribute class numeric

@data
1,1,2.484909
1,1,1.558676
0,1,0.317265
0,0,1.20403
0,1,0.415089
0,0,2.515779
0,1,0.071866
1,0,0.620533
0,0,1.287373
1,1,1.561857
1,1,1.177117
0,1,0.464022
1,1,2.528563
0,1,0.636776
1,1,0.520461
0,0,1.577154
1,1,2.127487
0,0,1.011589
0,0,2.51839
0,1,0.439215
1,0,0.437065
0,1,0.168612
0,0,0.736066
0,0,0.257632
0,0,1.081509
1,1,1.204939
1,1,0.656482
0,0,1.692524
0,0,1.608035
0,0,1.886429
1,1,0.541199
0,0,1.852071
1,0,0.667128
1,1,1.923854
1,1,1.790202
0,0,1.164353
1,1,1.387527
0,0,0.902638
1,1,1.287063
0,0,1.831695
0,1,0.27663
1,1,1.799559
0,0,1.429402
0,0,0.888401
1,1,1.859448
1,1,2.005405
0,0,1.464292
1,1,0.801893
0,0,0.399547
0,1,0.291044
1,0,0.547892
0,0,0.400013
1,1,0.638819
0,1,0.105941
0,0,1.781383
1,1,1.260857
1,1,1.319172
1,1,1.657684
0,0,3.044051
1,1,0.713769
1,1,1.465313
0,0,0.594575
0,0,0.300261
0,1,0.162909
0,0,0.097024
0,0,1.879039
1,1,1.314121
1,1,0.638896
0,0,3.205744
0,0,1.516096
0,0,1.155885
1,1,1.423199
0,0,1.431278
0,1,0.223675
1,0,0.209388
0,1,0.164124
1,1,1.844253
1,0,1.183476
0,0,1.354994
0,0,0.522137
0,0,0.547236
0,0,1.992462
0,0,1.740671
1,1,0.232697
0,0,0.323879
0,0,1.084179
0,0,0.822791
0,0,3.273034
0,0,1.399122
0,0,1.852792
1,1,1.268374
1,1,1.746024
1,1,0.994901
0,0,1.387175
0,0,1.703499
1,1,2.100216
1,1,1.153276
1,0,0.939292
0,1,1.317976
1,1,1.115964
0,1,0.516439
1,1,1.001655
1,1,0.186382
1,1,0.238107
1,1,2.811341
0,0,1.756225
0,0,0.926729
1,1,0.271195
0,0,1.614755
0,1,0.237469
1,0,0.591196
1,1,1.108608
1,1,2.931562
0,0,0.605614
0,1,0.616667
0,1,0.493457
1,0,0.764221
1,0,1.057381
1,1,1.36633
1,1,3.310226
1,1,1.958335
0,0,0.880317
1,1,0.798701
0,0,1.074366
0,0,1.447719
0,0,1.540958
0,0,1.119762
1,0,1.385623
0,0,0.798017
0,0,1.220169
1,1,0.96108
0,0,1.018191
0,0,1.107108
1,1,0.335141
1,0,0.83162
1,0,0.67795
0,0,0.846854
0,0,2.220407
0,0,1.510709
1,1,1.716774
1,1,1.272721
1,0,0.732933
1,1,1.409634
1,1,2.819909
1,1,1.547505
1,1,0.484279
1,1,0.694999
1,1,0.713353
0,0,1.199488
0,0,1.96896
1,1,0.425005
1,1,1.257904
0,0,0.802837
0,0,0.492077
0,0,2.481697
1,1,1.345531
0,1,0.742675
1,0,0.49217
0,0,2.965725
1,1,0.876452
0,0,1.553985
0,0,1.889968
0,1,0.188061
1,1,1.780953
1,1,1.86441
1,1,0.907787
0,1,0.157179
0,1,0.173561
0,0,0.849249
0,0,0.856156
0,0,1.960486
0,0,0.769143
1,0,0.99703
0,1,1.10519
1,1,1.746495
0,0,0.939878
1,1,1.079314
1,0,0.101913
0,1,0.464237
0,0,0.227157
1,1,0.686987
1,0,0.679935
0,0,0.410807
0,0,1.284911
1,1,1.058624
0,1,0.904881
1,0,0.316922
0,0,1.259724
0,0,2.508532
0,1,0.482679
1,0,0.258996
1,1,1.67015
1,1,1.520055
0,0,1.587988
0,0,2.010949
1,1,0.289398
0,0,0.875402
0,0,2.623846
1,1,0.761471
0,0,0.724727
1,1,1.558507
0,0,1.986597
1,0,0.779736
0,0,1.160452
0,0,1.007163
1,1,0.39142
0,0,2.119974
0,0,1.421983
0,0,0.738866
1,1,0.670282
1,1,1.99231
0,0,0.075076
0,0,2.102165
0,0,1.648637
1,1,0.257907
1,1,1.223721
1,1,2.940237
0,0,1.506088
0,0,0.458176
1,0,0.564794
1,1,0.815868
0,1,0.25877
0,0,0.317777
0,0,1.117735
0,0,1.332314
0,0,1.652193
1,0,0.272194
1,1,1.128904
0,0,1.177897
1,1,0.544573
0,1,0.345453
1,1,0.943231
1,1,1.480932
0,0,2.084425
1,1,0.124578
0,0,0.612876
1,1,1.074267
0,0,1.591445
1,1,1.681147
0,0,0.288353
1,1,2.347613
0,1,0.409019
1,1,1.490156
1,1,0.169731
1,1,1.030162
1,1,0.908464
1,1,0.943814
0,0,2.951886
1,1,2.390973
0,1,1.210001
1,1,1.976628
1,1,1.525813
0,0,1.667527
1,1,2.609969
1,1,0.956394
0,0,2.344415
1,1,0.76532
1,1,0.267916
0,1,0.765674
0,0,1.535154
0,0,3.027285
0,0,1.857782
0,0,1.145324
0,0,1.493834
1,1,0.715048
1,1,1.879336
1,1,1.501648
0,0,0.776247
0,0,0.200116
0,1,0.554501
0,0,1.116102
1,1,2.451325
1,1,2.028218
0,0,1.149821
1,1,2.218159
0,1,0.268788
1,1,2.183031
0,1,0.991453
1,1,0.888922
1,1,0.263818
1,1,0.607812
0,0,1.725747
0,0,2.186734
1,1,0.62149
0,0,0.316656
0,0,2.728553
1,1,2.046297
0,0,1.000859
0,0,0.797976
0,0,1.059455
0,0,0.921786
1,1,0.248084
0,0,1.04844
1,1,1.065332
1,0,0.21911
1,1,0.638909
0,0,1.840556
0,0,1.089478
0,0,0.841375
1,1,0.266761
1,1,0.724131
0,0,0.841305
0,0,0.627174
0,0,0.773343
1,1,0.476431
0,1,0.354911
0,0,1.257708
0,0,1.039941
0,0,2.437721
0,0,1.684108
1,1,2.108282
0,0,2.565435
